id,first_name,last_name,email,phone,gender,age,job_title,years_of_experience,salary,department,Full Name,designation,salary_usd
143,Jason,George,jasongeorge142858@slingacademy.com,001-431-125-6069,male,25,Machine Learning Engineer,2,9000,Product,Jason George,System Engineer,107.78
144,John,Arroyo,johnarroyo143863@slingacademy.com,6849186207,male,31,Machine Learning Engineer,5,7500,Product,John Arroyo,Data Engineer,89.82
145,Ashley,Mccann,ashleymccann144440@slingacademy.com,Invalid Number,female,32,Web Developer,8,11000,Product,Ashley Mccann,Senior Data Engineer,131.74
146,John,Robinson,johnrobinson145915@slingacademy.com,(200)221-4696,male,31,DevOps Engineer,8,12000,Product,John Robinson,Senior Data Engineer,143.71
147,Michael,Clark,michaelclark146199@slingacademy.com,Invalid Number,male,32,Web Developer,6,8000,Product,Michael Clark,Senior Data Engineer,95.81
148,Julia,Howe,juliahowe147145@slingacademy.com,Invalid Number,female,33,Web Developer,8,9000,Product,Julia Howe,Senior Data Engineer,107.78
149,John,Roy,johnroy148826@slingacademy.com,Invalid Number,male,31,DevOps Engineer,9,11500,Product,John Roy,Senior Data Engineer,137.72
150,Paul,Nguyen,paulnguyen149760@slingacademy.com,Invalid Number,male,39,Mobile Developer,14,12000,Product,Paul Nguyen,Lead,143.71
151,Chelsea,Lewis,chelsealewis150888@slingacademy.com,Invalid Number,female,32,DevOps Engineer,10,13000,Product,Chelsea Lewis,Senior Data Engineer,155.69
152,Austin,Bell,austinbell151766@slingacademy.com,Invalid Number,male,40,DevOps Engineer,15,16500,Product,Austin Bell,Lead,197.6
153,Paul,Allen,paulallen152619@slingacademy.com,2104766565,male,28,Mobile Developer,2,8000,Product,Paul Allen,System Engineer,95.81
154,Gary,Oliver,garyoliver153551@slingacademy.com,001-307-413-8100,male,29,Mobile Developer,4,7000,Product,Gary Oliver,Data Engineer,83.83
155,Diana,Bowers,dianabowers154842@slingacademy.com,(472)461-2314,female,29,Web Developer,3,7500,Product,Diana Bowers,Data Engineer,89.82
156,Cody,Peters,codypeters155367@slingacademy.com,Invalid Number,male,39,Mobile Developer,15,13500,Product,Cody Peters,Lead,161.68
157,Cameron,Gonzalez,camerongonzalez156781@slingacademy.com,001-671-656-9205,male,35,DevOps Engineer,13,14500,Product,Cameron Gonzalez,Lead,173.65
158,Shelia,Benson,sheliabenson157744@slingacademy.com,Invalid Number,female,26,Mobile Developer,3,6500,Product,Shelia Benson,Data Engineer,77.84
159,Jacqueline,Brooks,jacquelinebrooks158463@slingacademy.com,803-716-9920,female,33,DevOps Engineer,10,14000,Product,Jacqueline Brooks,Senior Data Engineer,167.66
160,William,Turner,williamturner159974@slingacademy.com,611.777.0181,male,33,Web Developer,11,12500,Product,William Turner,Lead,149.7
161,Lisa,Logan,lisalogan160552@slingacademy.com,Invalid Number,female,37,Web Developer,15,12500,Product,Lisa Logan,Lead,149.7
162,Jeffery,Jones,jefferyjones161216@slingacademy.com,Invalid Number,male,37,Mobile Developer,12,12000,Product,Jeffery Jones,Lead,143.71
163,Scott,Li,scottli162771@slingacademy.com,Invalid Number,male,30,Mobile Developer,5,8500,Product,Scott Li,Data Engineer,101.8
164,Chad,Roberson,chadroberson163525@slingacademy.com,001-589-932-4079,male,34,Mobile Developer,8,11000,Product,Chad Roberson,Senior Data Engineer,131.74
165,Ariana,Hernandez,arianahernandez164467@slingacademy.com,502-552-5808,female,28,Web Developer,6,8000,Product,Ariana Hernandez,Senior Data Engineer,95.81
166,Wanda,Forbes,wandaforbes165141@slingacademy.com,Invalid Number,female,29,Mobile Developer,7,10500,Product,Wanda Forbes,Senior Data Engineer,125.75
167,Edwin,Cortez,edwincortez166250@slingacademy.com,Invalid Number,male,33,Web Developer,9,9500,Product,Edwin Cortez,Senior Data Engineer,113.77
168,Sharon,Smith,sharonsmith167760@slingacademy.com,Invalid Number,female,34,DevOps Engineer,8,11000,Product,Sharon Smith,Senior Data Engineer,131.74
169,Sherry,Oliver,sherryoliver168772@slingacademy.com,(104)702-6330,female,33,DevOps Engineer,7,11500,Product,Sherry Oliver,Senior Data Engineer,137.72
170,Eric,Moses,ericmoses169891@slingacademy.com,Invalid Number,male,36,Web Developer,12,12000,Product,Eric Moses,Lead,143.71
171,James,Ruiz,jamesruiz170534@slingacademy.com,Invalid Number,male,27,Mobile Developer,3,8500,Product,James Ruiz,Data Engineer,101.8
172,Julie,Barber,juliebarber171592@slingacademy.com,Invalid Number,female,27,DevOps Engineer,1,7500,Product,Julie Barber,System Engineer,89.82
173,Becky,Mcpherson,beckymcpherson172514@slingacademy.com,Invalid Number,female,28,Web Developer,5,7500,Product,Becky Mcpherson,Data Engineer,89.82
174,Nicole,Aguilar,nicoleaguilar173929@slingacademy.com,Invalid Number,female,26,Web Developer,1,7500,Product,Nicole Aguilar,System Engineer,89.82
175,Melissa,Lee,melissalee174832@slingacademy.com,262-107-4732,female,32,Mobile Developer,9,9500,Product,Melissa Lee,Senior Data Engineer,113.77
176,Ariana,Cochran,arianacochran175831@slingacademy.com,+1-248-824-7621,female,36,Web Developer,10,12000,Product,Ariana Cochran,Senior Data Engineer,143.71
177,Lisa,Carpenter,lisacarpenter176388@slingacademy.com,9008123667,female,32,Mobile Developer,9,9500,Product,Lisa Carpenter,Senior Data Engineer,113.77
178,Julie,Wilson,juliewilson177313@slingacademy.com,Invalid Number,female,28,Mobile Developer,4,7000,Product,Julie Wilson,Data Engineer,83.83
179,Martin,Crawford,martincrawford178513@slingacademy.com,Invalid Number,male,23,Mobile Developer,1,5500,Product,Martin Crawford,System Engineer,65.87
180,Daniel,Peterson,danielpeterson179804@slingacademy.com,Invalid Number,male,27,DevOps Engineer,5,10500,Product,Daniel Peterson,Data Engineer,125.75
181,Eric,Lambert,ericlambert180283@slingacademy.com,710-838-5229,male,36,Mobile Developer,10,10000,Product,Eric Lambert,Senior Data Engineer,119.76
182,Marcia,Huerta,marciahuerta181175@slingacademy.com,Invalid Number,female,32,Web Developer,6,8000,Product,Marcia Huerta,Senior Data Engineer,95.81
183,Jason,Ortiz,jasonortiz182754@slingacademy.com,Invalid Number,male,33,Mobile Developer,9,9500,Product,Jason Ortiz,Senior Data Engineer,113.77
184,Keith,Thomas,keiththomas183439@slingacademy.com,Invalid Number,male,28,Mobile Developer,5,9500,Product,Keith Thomas,Data Engineer,113.77
185,Sarah,Freeman,sarahfreeman184758@slingacademy.com,Invalid Number,female,32,DevOps Engineer,9,13500,Product,Sarah Freeman,Senior Data Engineer,161.68
186,Michael,Galvan,michaelgalvan185989@slingacademy.com,+1-122-284-2113,male,28,Web Developer,2,8000,Product,Michael Galvan,System Engineer,95.81
187,Michael,Warner,michaelwarner186194@slingacademy.com,790-287-4075,male,29,Mobile Developer,5,7500,Product,Michael Warner,Data Engineer,89.82
188,Larry,Thompson,larrythompson187420@slingacademy.com,Invalid Number,male,39,Web Developer,14,12000,Product,Larry Thompson,Lead,143.71
189,James,Miller,jamesmiller188412@slingacademy.com,Invalid Number,male,37,Mobile Developer,15,13500,Product,James Miller,Lead,161.68
